"Access","TokyoDay","url"
"2537","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/cloud/aws/appstream-rdp/"
"1924","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/cloud/aws/extending-disk-size-without-reboot/"
"1655","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/cloud/aws/2017-try-amazon-appstream2-0/embed/"
"1615","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/event/how-to-hold-a-tddbc/"
"1578","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/business/business-analytics/the-looker-difference/"
"1402","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/cloud/aws/lambda-cold-start-avoid-hack/"
"1204","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/smartphone/iphone/iphone_simplified_chart/"
"968","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/cloud/aws/release-change-ebs-volume-size/embed/"
"964","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/cloud/mackerel-aws-role-cloudformation-2/"
"918","2019-05-29 00:00:00.000 Asia/Tokyo","https://dev.classmethod.jp:443/cloud/aws/appstream-supports-ipad-and-android-tablets/"
