"TokyoDay","Access"
"2019-05-29 00:00:00.000 Asia/Tokyo","6429"
"2019-05-29 01:00:00.000 Asia/Tokyo","4579"
"2019-05-29 02:00:00.000 Asia/Tokyo","3560"
"2019-05-29 03:00:00.000 Asia/Tokyo","3589"
"2019-05-29 04:00:00.000 Asia/Tokyo","3250"
"2019-05-29 05:00:00.000 Asia/Tokyo","4139"
"2019-05-29 06:00:00.000 Asia/Tokyo","3527"
"2019-05-29 07:00:00.000 Asia/Tokyo","5312"
"2019-05-29 08:00:00.000 Asia/Tokyo","7191"
"2019-05-29 09:00:00.000 Asia/Tokyo","12005"
"2019-05-29 10:00:00.000 Asia/Tokyo","13333"
"2019-05-29 11:00:00.000 Asia/Tokyo","14786"
"2019-05-29 12:00:00.000 Asia/Tokyo","11166"
"2019-05-29 13:00:00.000 Asia/Tokyo","12516"
"2019-05-29 14:00:00.000 Asia/Tokyo","14408"
"2019-05-29 15:00:00.000 Asia/Tokyo","15282"
"2019-05-29 16:00:00.000 Asia/Tokyo","14200"
"2019-05-29 17:00:00.000 Asia/Tokyo","13782"
"2019-05-29 18:00:00.000 Asia/Tokyo","11094"
"2019-05-29 19:00:00.000 Asia/Tokyo","8145"
"2019-05-29 20:00:00.000 Asia/Tokyo","6827"
"2019-05-29 21:00:00.000 Asia/Tokyo","6225"
"2019-05-29 22:00:00.000 Asia/Tokyo","5616"
"2019-05-29 23:00:00.000 Asia/Tokyo","5972"
